1,"{""value"": 130, ""category"": ""CAT_3"", ""active"": true}",2025-02-11T20:28:07.969103
2,"{""value"": 970, ""category"": ""CAT_5"", ""active"": false}",2025-09-05T20:28:07.969200
3,"{""value"": 519, ""category"": ""CAT_3"", ""active"": true}",2025-05-24T20:28:07.969248
4,"{""value"": 276, ""category"": ""CAT_2"", ""active"": false}",2025-04-04T20:28:07.969272
5,"{""value"": 456, ""category"": ""CAT_0"", ""active"": true}",2025-04-12T20:28:07.969289
6,"{""value"": 400, ""category"": ""CAT_3"", ""active"": false}",2025-03-24T20:28:07.969303
7,"{""value"": 243, ""category"": ""CAT_1"", ""active"": false}",2025-02-02T20:28:07.969318
8,"{""value"": 387, ""category"": ""CAT_6"", ""active"": true}",2025-06-04T20:28:07.969331
9,"{""value"": 430, ""category"": ""CAT_5"", ""active"": true}",2025-09-21T20:28:07.969360
10,"{""value"": 212, ""category"": ""CAT_3"", ""active"": true}",2025-10-09T20:28:07.969376
11,"{""value"": 379, ""category"": ""CAT_5"", ""active"": true}",2025-03-10T20:28:07.969390
12,"{""value"": 975, ""category"": ""CAT_4"", ""active"": true}",2025-04-26T20:28:07.969404
13,"{""value"": 157, ""category"": ""CAT_3"", ""active"": false}",2025-01-06T20:28:07.969418
14,"{""value"": 558, ""category"": ""CAT_6"", ""active"": false}",2025-02-15T20:28:07.969431
15,"{""value"": 713, ""category"": ""CAT_9"", ""active"": true}",2025-03-14T20:28:07.969444
16,"{""value"": 897, ""category"": ""CAT_9"", ""active"": false}",2025-02-14T20:28:07.969458
17,"{""value"": 94, ""category"": ""CAT_4"", ""active"": true}",2025-06-21T20:28:07.969471
18,"{""value"": 775, ""category"": ""CAT_9"", ""active"": false}",2025-03-01T20:28:07.969489
19,"{""value"": 453, ""category"": ""CAT_9"", ""active"": false}",2025-07-17T20:28:07.969501
20,"{""value"": 986, ""category"": ""CAT_0"", ""active"": false}",2025-03-14T20:28:07.969514
21,"{""value"": 200, ""category"": ""CAT_4"", ""active"": true}",2025-04-09T20:28:07.969526
22,"{""value"": 807, ""category"": ""CAT_3"", ""active"": true}",2025-02-26T20:28:07.969539
23,"{""value"": 398, ""category"": ""CAT_9"", ""active"": false}",2025-06-09T20:28:07.969551
24,"{""value"": 923, ""category"": ""CAT_5"", ""active"": false}",2025-02-12T20:28:07.969564
25,"{""value"": 229, ""category"": ""CAT_6"", ""active"": false}",2025-06-12T20:28:07.969578
26,"{""value"": 870, ""category"": ""CAT_0"", ""active"": true}",2025-02-16T20:28:07.969590
27,"{""value"": 983, ""category"": ""CAT_1"", ""active"": false}",2024-11-21T20:28:07.969749
28,"{""value"": 275, ""category"": ""CAT_2"", ""active"": false}",2025-09-09T20:28:07.969772
29,"{""value"": 597, ""category"": ""CAT_1"", ""active"": true}",2025-03-22T20:28:07.969786
30,"{""value"": 806, ""category"": ""CAT_5"", ""active"": false}",2024-11-23T20:28:07.969801
31,"{""value"": 246, ""category"": ""CAT_8"", ""active"": true}",2025-08-11T20:28:07.969814
32,"{""value"": 652, ""category"": ""CAT_2"", ""active"": true}",2025-04-23T20:28:07.969827
33,"{""value"": 433, ""category"": ""CAT_2"", ""active"": false}",2025-06-28T20:28:07.969840
34,"{""value"": 238, ""category"": ""CAT_2"", ""active"": true}",2025-01-28T20:28:07.969854
35,"{""value"": 525, ""category"": ""CAT_2"", ""active"": false}",2025-10-05T20:28:07.969866
36,"{""value"": 373, ""category"": ""CAT_7"", ""active"": false}",2024-12-19T20:28:07.969879
37,"{""value"": 904, ""category"": ""CAT_3"", ""active"": false}",2024-11-19T20:28:07.969891
38,"{""value"": 447, ""category"": ""CAT_1"", ""active"": false}",2025-08-14T20:28:07.969927
39,"{""value"": 21, ""category"": ""CAT_5"", ""active"": false}",2025-05-02T20:28:07.969960
40,"{""value"": 600, ""category"": ""CAT_1"", ""active"": true}",2025-03-26T20:28:07.969979
41,"{""value"": 284, ""category"": ""CAT_6"", ""active"": true}",2025-01-11T20:28:07.969998
42,"{""value"": 65, ""category"": ""CAT_0"", ""active"": false}",2025-02-21T20:28:07.970030
43,"{""value"": 29, ""category"": ""CAT_1"", ""active"": false}",2025-03-28T20:28:07.970042
44,"{""value"": 741, ""category"": ""CAT_8"", ""active"": false}",2025-09-07T20:28:07.970054
45,"{""value"": 212, ""category"": ""CAT_6"", ""active"": false}",2025-04-14T20:28:07.970066
46,"{""value"": 46, ""category"": ""CAT_9"", ""active"": false}",2025-10-19T20:28:07.970086
47,"{""value"": 774, ""category"": ""CAT_5"", ""active"": true}",2025-02-15T20:28:07.970101
48,"{""value"": 492, ""category"": ""CAT_1"", ""active"": true}",2025-10-30T20:28:07.970124
49,"{""value"": 866, ""category"": ""CAT_8"", ""active"": false}",2025-09-14T20:28:07.970137
50,"{""value"": 189, ""category"": ""CAT_3"", ""active"": true}",2025-08-05T20:28:07.970149
51,"{""value"": 209, ""category"": ""CAT_8"", ""active"": true}",2025-01-23T20:28:07.970160
52,"{""value"": 269, ""category"": ""CAT_7"", ""active"": false}",2024-11-26T20:28:07.970177
53,"{""value"": 654, ""category"": ""CAT_0"", ""active"": true}",2024-12-24T20:28:07.970188
54,"{""value"": 488, ""category"": ""CAT_8"", ""active"": true}",2025-09-23T20:28:07.970200
55,"{""value"": 359, ""category"": ""CAT_1"", ""active"": true}",2025-07-02T20:28:07.970211
56,"{""value"": 675, ""category"": ""CAT_1"", ""active"": false}",2024-12-14T20:28:07.970222
57,"{""value"": 673, ""category"": ""CAT_3"", ""active"": true}",2025-02-02T20:28:07.970235
58,"{""value"": 174, ""category"": ""CAT_7"", ""active"": false}",2025-02-28T20:28:07.970249
59,"{""value"": 118, ""category"": ""CAT_7"", ""active"": true}",2025-10-24T20:28:07.970262
60,"{""value"": 587, ""category"": ""CAT_0"", ""active"": true}",2025-04-06T20:28:07.970274
61,"{""value"": 386, ""category"": ""CAT_6"", ""active"": true}",2024-12-17T20:28:07.970285
62,"{""value"": 88, ""category"": ""CAT_1"", ""active"": true}",2024-12-16T20:28:07.970297
63,"{""value"": 730, ""category"": ""CAT_5"", ""active"": true}",2025-04-06T20:28:07.970309
64,"{""value"": 881, ""category"": ""CAT_5"", ""active"": false}",2025-06-25T20:28:07.970321
65,"{""value"": 459, ""category"": ""CAT_9"", ""active"": true}",2025-09-12T20:28:07.970344
66,"{""value"": 358, ""category"": ""CAT_9"", ""active"": true}",2025-10-12T20:28:07.970357
67,"{""value"": 64, ""category"": ""CAT_7"", ""active"": true}",2025-06-28T20:28:07.970375
68,"{""value"": 99, ""category"": ""CAT_6"", ""active"": false}",2025-04-11T20:28:07.970386
69,"{""value"": 788, ""category"": ""CAT_1"", ""active"": true}",2025-05-07T20:28:07.970397
70,"{""value"": 186, ""category"": ""CAT_6"", ""active"": true}",2025-03-20T20:28:07.970408
71,"{""value"": 67, ""category"": ""CAT_9"", ""active"": true}",2024-11-25T20:28:07.970419
72,"{""value"": 410, ""category"": ""CAT_6"", ""active"": true}",2025-10-05T20:28:07.970429
73,"{""value"": 725, ""category"": ""CAT_0"", ""active"": false}",2024-11-14T20:28:07.970440
74,"{""value"": 619, ""category"": ""CAT_2"", ""active"": true}",2025-05-14T20:28:07.970451
75,"{""value"": 963, ""category"": ""CAT_5"", ""active"": true}",2025-04-18T20:28:07.970462
76,"{""value"": 47, ""category"": ""CAT_9"", ""active"": false}",2025-10-12T20:28:07.970480
77,"{""value"": 960, ""category"": ""CAT_9"", ""active"": false}",2025-07-27T20:28:07.970490
78,"{""value"": 866, ""category"": ""CAT_2"", ""active"": false}",2024-11-09T20:28:07.970501
79,"{""value"": 984, ""category"": ""CAT_4"", ""active"": false}",2025-09-29T20:28:07.970512
80,"{""value"": 955, ""category"": ""CAT_3"", ""active"": false}",2024-11-22T20:28:07.970523
81,"{""value"": 387, ""category"": ""CAT_5"", ""active"": false}",2025-08-10T20:28:07.970534
82,"{""value"": 688, ""category"": ""CAT_8"", ""active"": false}",2025-04-15T20:28:07.970545
83,"{""value"": 986, ""category"": ""CAT_2"", ""active"": false}",2025-08-21T20:28:07.970555
84,"{""value"": 741, ""category"": ""CAT_7"", ""active"": true}",2025-05-15T20:28:07.970566
85,"{""value"": 857, ""category"": ""CAT_3"", ""active"": true}",2025-10-12T20:28:07.970588
86,"{""value"": 109, ""category"": ""CAT_4"", ""active"": true}",2025-10-12T20:28:07.970606
87,"{""value"": 11, ""category"": ""CAT_8"", ""active"": false}",2025-06-12T20:28:07.970617
88,"{""value"": 959, ""category"": ""CAT_8"", ""active"": true}",2025-06-08T20:28:07.970628
89,"{""value"": 241, ""category"": ""CAT_6"", ""active"": true}",2024-11-28T20:28:07.970645
90,"{""value"": 706, ""category"": ""CAT_2"", ""active"": false}",2025-04-24T20:28:07.970789
91,"{""value"": 923, ""category"": ""CAT_7"", ""active"": true}",2024-11-10T20:28:07.970802
92,"{""value"": 856, ""category"": ""CAT_4"", ""active"": true}",2025-08-13T20:28:07.970816
93,"{""value"": 596, ""category"": ""CAT_0"", ""active"": true}",2025-01-20T20:28:07.970827
94,"{""value"": 718, ""category"": ""CAT_1"", ""active"": false}",2025-02-14T20:28:07.970845
95,"{""value"": 529, ""category"": ""CAT_4"", ""active"": true}",2025-09-15T20:28:07.970856
96,"{""value"": 802, ""category"": ""CAT_2"", ""active"": true}",2025-03-07T20:28:07.970870
97,"{""value"": 802, ""category"": ""CAT_7"", ""active"": true}",2025-10-03T20:28:07.970880
98,"{""value"": 515, ""category"": ""CAT_1"", ""active"": true}",2024-12-02T20:28:07.970891
99,"{""value"": 848, ""category"": ""CAT_9"", ""active"": true}",2025-04-20T20:28:07.970902
100,"{""value"": 717, ""category"": ""CAT_6"", ""active"": false}",2025-03-02T20:28:07.970913
101,"{""value"": 693, ""category"": ""CAT_7"", ""active"": false}",2025-03-04T20:28:07.970923
102,"{""value"": 978, ""category"": ""CAT_3"", ""active"": true}",2024-12-06T20:28:07.970933
103,"{""value"": 510, ""category"": ""CAT_2"", ""active"": false}",2025-06-29T20:28:07.970943
104,"{""value"": 337, ""category"": ""CAT_8"", ""active"": true}",2025-08-20T20:28:07.970960
